,Total
2021-01-04,1
2021-01-05,1.016461983614815
2021-01-06,1.0234596819186976
2021-01-07,1.0381891818023705
2021-01-08,1.0353453786504698
2021-01-11,1.024480650167037
2021-01-12,1.0509693551410948
2021-01-13,1.0461604139890721
2021-01-14,1.0282731406293413
2021-01-15,1.0262357216912836
2021-01-18,1.039225961505883
2021-01-19,1.0242412195601251
2021-01-20,1.0342385767883318
2021-01-21,1.0506034328927958
2021-01-22,1.0538199346309265
2021-01-25,1.0624484715969795
2021-01-26,1.0403689038369883
2021-01-27,1.0432307772233729
2021-01-28,1.0151157511457658
2021-01-29,1.0087618049453715
2021-02-01,1.019694296808119
2021-02-02,1.0350607724573488
2021-02-03,1.031406067532984
2021-02-04,1.027308641863764
2021-02-05,1.0247065280980854
2021-02-08,1.0408071070232225
2021-02-09,1.0643277759833032
2021-02-10,1.0848149043294024
2021-02-18,1.079847848625646
2021-02-19,1.082461256287877
2021-02-22,1.051841243954942
2021-02-23,1.0486541063478476
2021-02-24,1.0229198336634917
2021-02-25,1.0254474077119242
2021-02-26,1.00102548580696
2021-03-01,1.0186326705321909
2021-03-02,1.006507543193507
2021-03-03,1.0242412195601251
2021-03-04,0.9921868823650322
2021-03-05,0.9895689571441799
2021-03-08,0.955637574342074
2021-03-09,0.9335286424510465
2021-03-10,0.9386086371203273
2021-03-11,0.9628814795907995
2021-03-12,0.9659692309082326
2021-03-15,0.9453556109207463
2021-03-16,0.9527350429281007
2021-03-17,0.9579844460456679
2021-03-18,0.9663712936254989
2021-03-19,0.9437292898171971
2021-03-22,0.9533516896798631
2021-03-23,0.9437360661551284
2021-03-24,0.928575139423153
2021-03-25,0.9292731022300929
2021-03-26,0.95012389404518
2021-03-29,0.951553701348717
2021-03-30,0.9604126338044393
2021-03-31,0.9523894496935966
2021-04-01,0.9643361334667518
2021-04-02,0.973678444694918
2021-04-06,0.970796242294739
2021-04-07,0.9644874716805543
2021-04-08,0.9664390570048135
2021-04-09,0.9539186432867949
2021-04-12,0.9365328189339917
2021-04-13,0.9357512812925638
2021-04-14,0.9454911376793755
2021-04-15,0.9404585773756148
2021-04-16,0.9444972747827619
2021-04-19,0.9668772601910476
2021-04-20,0.9661137927841036
2021-04-21,0.968634590494605
2021-04-22,0.9683522430807944
2021-04-23,0.9766464807088953
2021-04-26,0.9668795189703581
2021-04-27,0.9691202280463591
2021-04-28,0.9754448101157172
2021-04-29,0.9824831664471884
2021-04-30,0.977498040508948
2021-05-06,0.9670308571841603
2021-05-07,0.9532613385074435
2021-05-10,0.9533042553143426
2021-05-11,0.9574807382594297
2021-05-12,0.9626827070114767
2021-05-13,0.9528615345694877
2021-05-14,0.9730188811362563
2021-05-17,0.9875292794268121
2021-05-18,0.9877348283440661
2021-05-19,0.985625128468073
2021-05-20,0.9877416046819973
2021-05-21,0.9792124540056061
2021-05-24,0.9841298165645319
2021-05-25,1.0116214195524451
2021-05-26,1.0115355859386466
2021-05-27,1.016455207276883
2021-05-28,1.0139976553870753
2021-05-31,1.020315461118502
2021-06-01,1.0219417822220513
2021-06-02,1.0111674049110375
2021-06-03,1.0049038098830627
2021-06-04,1.0109257155248157
2021-06-07,1.0107427544006662
2021-06-08,1.001669237910448
2021-06-09,1.0024982099173958
2021-06-10,1.0116394897869287
2021-06-11,1.004138083696808
2021-06-15,0.9929367970961126
2021-06-16,0.9747875053363655
2021-06-17,0.9819116952816352
2021-06-18,0.9846945113921527
2021-06-21,0.9849655649094108
2021-06-22,0.9912653004063537
2021-06-23,0.9979241818136635
2021-06-24,0.9974091801308729
2021-06-25,1.0118066394559044
2021-06-28,1.0149169785664425
2021-06-29,1.0047728006830543
2021-06-30,1.0131980475111635
2021-07-01,1.0111719224696585
2021-07-02,0.9849497534542377
2021-07-05,0.9876738413026829
2021-07-06,0.9860158972887868
2021-07-07,0.9990626065861483
2021-07-08,0.9919067937305316
2021-07-09,0.9902759550683613
2021-07-12,1.0052719909106715
2021-07-13,1.008002855097048
2021-07-14,0.9966999234273808
2021-07-15,1.009229372262641
2021-07-16,0.9981026253791919
2021-07-19,0.999430787613757
2021-07-20,0.9991981333447771
2021-07-21,1.009251960055746
2021-07-22,1.0118744028352191
2021-07-23,1.0002010313586327
2021-07-26,0.9726303710948524
2021-07-27,0.9403433796307795
2021-07-28,0.9403840376583682
2021-07-29,0.9617950067424558
2021-07-30,0.9561819401559006
2021-08-02,0.978566443122807
2021-08-03,0.975035971060519
2021-08-04,0.9877144993302714
2021-08-05,0.9830478612748094
2021-08-06,0.9791040325987025
2021-08-09,0.9878274382957956
2021-08-10,0.9974611320550143
2021-08-11,0.9951255542479728
2021-08-12,0.9882340185716829
2021-08-13,0.9833595728196562
2021-08-16,0.9795557884607995
2021-08-17,0.9582396881077523
2021-08-18,0.9685103576325277
2021-08-19,0.9655807208668286
2021-08-20,0.9503158902865708
2021-08-23,0.9650860481978325
2021-08-24,0.9757497453226324
2021-08-25,0.9794631785090697
2021-08-26,0.9625629917080208
2021-08-27,0.9677130085359265
2021-08-30,0.9669540586876035
2021-08-31,0.9659195377634014
2021-09-01,0.9697210633429477
2021-09-02,0.9728833543776267
2021-09-03,0.9664458333427445
2021-09-06,0.9840168775990076
2021-09-07,0.9970997273653369
2021-09-08,0.9934088819720043
2021-09-09,0.995419195558336
2021-09-10,1.002968036013977
2021-09-13,0.9999164251655117
2021-09-14,0.9883130758475501
2021-09-15,0.9820291518057807
2021-09-16,0.9659195377634014
2021-09-17,0.9722780015224167
2021-09-22,0.9678191711635193
2021-09-23,0.9728698017017638
2021-09-24,0.9702767230533269
2021-09-27,0.9680405315359468
2021-09-28,0.9690773112394594
2021-09-29,0.9556217628869
2021-09-30,0.9660121477151312
2021-10-08,0.9732334651707519
2021-10-11,0.9729285299638363
2021-10-12,0.9602635543699468
2021-10-13,0.9728765780396952
2021-10-14,0.9706290926257627
2021-10-15,0.9763618745157736
2021-10-18,0.9705500353498955
2021-10-19,0.9790385279986983
2021-10-20,0.9771095304675441
2021-10-21,0.9787878034952346
2021-10-22,0.9812272851505585
2021-10-25,0.9874637748268075
2021-10-26,0.9847080640680158
2021-10-27,0.9745593686260066
2021-10-28,0.9655332865013083
2021-10-29,0.9767142440882092
2021-11-01,0.9745390396122121
2021-11-02,0.9660031125978892
2021-11-03,0.9628046810942423
2021-11-04,0.9719888777706744
2021-11-05,0.9648759817219572
2021-11-08,0.9685939324670156
2021-11-09,0.9714377356189162
2021-11-10,0.9656191201151068
2021-11-11,0.9788058737297183
2021-11-12,0.9780491826607057
2021-11-15,0.9736581156811229
2021-11-16,0.971144094308553
2021-11-17,0.975279919226051
2021-11-18,0.9682957735980314
2021-11-19,0.9789142951366213
2021-11-22,0.987696429095787
2021-11-23,0.9867341891095204
2021-11-24,0.9859571690267137
2021-11-25,0.9826932329230629
2021-11-26,0.9780627353365685
2021-11-29,0.9788487905366172
2021-11-30,0.9771072716882332
2021-12-01,0.9776990718675802
2021-12-02,0.9778120108331044
2021-12-03,0.9868313166198711
2021-12-06,0.9808794331367432
2021-12-07,0.9805135108884444
2021-12-08,0.9958551399652588
2021-12-09,1.007320703745281
2021-12-10,1.0059812476141632
2021-12-13,1.0113390721386337
2021-12-14,1.0045627342071786
2021-12-15,0.996670559296344
2021-12-16,1.0021413227863385
2021-12-17,0.9868764922060806
2021-12-20,0.9707849483981854
2021-12-21,0.9783541178676207
2021-12-22,0.9801317771849724
2021-12-23,0.9854918604887533
2021-12-24,0.9776267909296444
2021-12-27,0.9768542884054585
2021-12-28,0.9846131953369748
2021-12-29,0.972142474763787
2021-12-30,0.9796190342814923
2021-12-31,0.9847554984335354
2022-01-04,0.978186968198645
2022-01-05,0.9647449725219486
2022-01-06,0.9582035476387839
2022-01-07,0.955637574342073
2022-01-10,0.9591996693147079
2022-01-11,0.9498460641899895
2022-01-12,0.9606543231906602
2022-01-13,0.9440816593896316
2022-01-14,0.9387486814375766
2022-01-17,0.9474833810312223
2022-01-18,0.9547408389558107
2022-01-19,0.9464036845208106
2022-01-20,0.9498889809968889
2022-01-21,0.9414659929480903
2022-01-24,0.9443052785413701
2022-01-25,0.9206039072364507
2022-01-26,0.9267116464920021
2022-01-27,0.9069405511873266
2022-01-28,0.8967534564970392
2022-02-07,0.9106291378013488
2022-02-08,0.906965397759742
2022-02-09,0.9172067031534812
2022-02-10,0.9147017168981533
2022-02-11,0.9058021264148423
2022-02-14,0.8972955635315556
2022-02-15,0.9083387355805168
2022-02-16,0.9114942502772644
2022-02-17,0.9148282085395402
2022-02-18,0.9193954603053409
2022-02-21,0.9178481964776586
2022-02-22,0.9073493902425241
2022-02-23,0.9197794527881233
2022-02-24,0.901578209104235
2022-02-25,0.9104845759254775
2022-02-28,0.9135474806704952
2022-03-01,0.9187381555259898
2022-03-02,0.9117698213531436
2022-03-03,0.9051696682079063
2022-03-04,0.8942913870486104
2022-03-07,0.8671973292193426
2022-03-08,0.8464933580594368
2022-03-09,0.8371239414795449
2022-03-10,0.8523481140322139
2022-03-11,0.8562286968876273
2022-03-14,0.8310794480446869
2022-03-15,0.7925175676560866
2022-03-16,0.8253353722581236
2022-03-17,0.8408622212383976
2022-03-18,0.8467327886663482
2022-03-21,0.8472861895974169
2022-03-22,0.8459331807904363
2022-03-23,0.8504145989424386
2022-03-24,0.8449370591145124
2022-03-25,0.8300471858997953
2022-03-28,0.8250349546098291
2022-03-29,0.8217800536234201
2022-03-30,0.8442639428799881
2022-03-31,0.8360690915415484
2022-04-01,0.8450138576110692
2022-04-06,0.8412371786039382
2022-04-07,0.8290307352100771
2022-04-08,0.8315312039067838
2022-04-11,0.8041435047671529
2022-04-12,0.8186516442783982
2022-04-13,0.8099485675950995
2022-04-14,0.820736497581976
2022-04-15,0.8185274114163217
2022-04-18,0.8164380405541231
2022-04-19,0.8117104154572778
2022-04-20,0.7975388340632948
2022-04-21,0.7791410765793942
2022-04-22,0.7802682074553264
2022-04-25,0.7373514005561109
2022-04-26,0.7282711077279611
2022-04-27,0.7537298093364377
2022-04-28,0.7573144921021775
2022-04-29,0.77879548334489
2022-05-05,0.7804150281105079
2022-05-06,0.7613464131713933
2022-05-09,0.7578159411091051
2022-05-10,0.7673502485786624
2022-05-11,0.7785876756483254
2022-05-12,0.7763424490137033
2022-05-13,0.7822401217933798
2022-05-16,0.7774108516275627
2022-05-17,0.7871642606902371
2022-05-18,0.7845327827935222
2022-05-19,0.7875030775868099
2022-05-20,0.8022890469532449
2022-05-23,0.8002945448220866
2022-05-24,0.7782804816620995
2022-05-25,0.7842278475866065
2022-05-26,0.7876747448144067
2022-05-27,0.7883636725041044
2022-05-30,0.7948712156976119
2022-05-31,0.8073780767397675
2022-06-01,0.8059753747879562
2022-06-02,0.8095849041261113
2022-06-06,0.8271062552375436
2022-06-07,0.829166261968706
2022-06-08,0.8365231061829557
2022-06-09,0.826814872706491
2022-06-10,0.8406092379556231
2022-06-13,0.8337402900724382
2022-06-14,0.8393917559072718
2022-06-15,0.847062570445679
2022-06-16,0.8433288082454472
2022-06-17,0.8547830781289169
2022-06-20,0.8590973466119431
2022-06-21,0.8559147265634698
2022-06-22,0.8445101498248309
2022-06-23,0.8600641041568307
2022-06-24,0.8705516164954127
2022-06-27,0.8802417797373935
2022-06-28,0.8901736323655961
2022-06-29,0.8743802474266849
2022-06-30,0.8879058179378692
2022-07-01,0.8848158078411257
2022-07-04,0.8925182452898796
2022-07-05,0.8911833067173829
2022-07-06,0.8780778691579488
2022-07-07,0.8823153391444187
2022-07-08,0.8776487010889567
2022-07-11,0.8628220736949329
2022-07-12,0.8541483611426705
2022-07-13,0.8555984974600019
2022-07-14,0.8577985485084143
2022-07-15,0.844114863445496
2022-07-18,0.8537643686598881
2022-07-19,0.8510312456942012
2022-07-20,0.8564297282462604
2022-07-21,0.8469405963629129
2022-07-22,0.84501837516969
